"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"01-02 self learning ",,"2025-12-02","04:36:50","05:49:27","01:12:37","-05:00","false",
"01-02 self learning ",,"2025-12-02","19:17:02","21:13:58","01:56:56","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-02","21:43:26","22:15:09","00:31:43","-05:00","false","false"
"01-02 self learning ",,"2025-12-02","23:46:14","23:55:17","00:09:03","-05:00","false",
"01-02 self learning ",,"2025-12-04","01:32:56","01:33:26","00:00:30","-05:00","false",
"01-02 self learning ",,"2025-12-04","01:33:36","02:03:36","00:30:00","-05:00","false",
"01-02 self learning ",,"2025-12-04","02:05:43","02:35:43","00:30:00","-05:00","false",
"01-02 self learning ",,"2025-12-04","02:37:29","03:07:30","00:30:01","-05:00","false",
"01-02 self learning ",,"2025-12-04","03:07:32","03:37:33","00:30:01","-05:00","false",
"01-02 self learning ",,"2025-12-04","03:37:36","03:45:17","00:07:41","-05:00","false",
"01-02 self learning ",,"2025-12-04","04:23:38","04:45:58","00:22:20","-05:00","false",
"01-02 self learning ",,"2025-12-04","05:11:08","05:46:00","00:34:52","-05:00","false",
"02-WashingDishes",,"2025-12-04","21:41:05","22:06:21","00:25:16","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-04","22:11:20","22:39:40","00:28:20","-05:00","false","false"
"03-Clean up",,"2025-12-04","23:46:48","23:59:59","00:13:11","-05:00","false",
"03-Clean up",,"2025-12-05","00:00:00","00:10:00","00:10:00","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-05","23:34:14","23:48:41","00:14:27","-05:00","false","false"
"02-Eating ",,"2025-12-06","17:57:10","19:19:11","01:22:01","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-06","20:33:44","21:14:25","00:40:41","-05:00","false","false"
"02-WashingDishes",,"2025-12-06","21:46:20","22:03:17","00:16:57","-05:00","false",
"03-Clean up",,"2025-12-06","22:44:46","23:05:00","00:20:14","-05:00","false",
"02-Kitchen ",,"2025-12-07","08:00:27","09:15:00","01:14:33","-05:00","false",
"02-Eating ",,"2025-12-07","12:10:23","12:52:48","00:42:25","-05:00","false",
"Dunkin",,"2025-12-07","12:52:52","18:05:00","05:12:08","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-08","00:47:12","01:55:26","01:08:14","-05:00","false","false"
"02-WashingDishes",,"2025-12-08","02:11:00","02:24:45","00:13:45","-05:00","false",
"03-Clean up",,"2025-12-08","02:29:42","02:54:49","00:25:07","-05:00","false",
"03-Clean up",,"2025-12-09","01:30:07","01:53:05","00:22:58","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-09","01:53:08","02:00:00","00:06:52","-05:00","false","false"
"02-WashingDishes",,"2025-12-09","13:47:37","13:59:45","00:12:08","-05:00","false",
"02-Eating ",,"2025-12-09","14:40:00","14:56:00","00:16:00","-05:00","false",
"02-Eating ",,"2025-12-09","21:56:55","22:25:00","00:28:05","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-09","23:49:48","23:59:59","00:10:11","-05:00","false","false"
"02-Kitchen ","Meal prep","2025-12-10","00:00:00","00:17:53","00:17:53","-05:00","false","false"
"02-Eating ",,"2025-12-10","12:06:00","12:36:00","00:30:00","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-10","21:25:35","21:50:55","00:25:20","-05:00","false","false"
"02-coffee",,"2025-12-10","21:51:00","21:57:18","00:06:18","-05:00","false",
"02-coffee",,"2025-12-10","21:58:32","21:58:36","00:00:04","-05:00","false",
"02-coffee",,"2025-12-10","22:00:06","22:00:12","00:00:06","-05:00","false",
"02-WashingDishes",,"2025-12-10","22:25:15","22:35:54","00:10:39","-05:00","false",
"02-Kitchen ",,"2025-12-12","00:23:06","01:37:11","01:14:05","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-12","21:43:41","22:31:50","00:48:09","-05:00","false","false"
"02-coffee",,"2025-12-12","22:31:57","22:48:17","00:16:20","-05:00","false",
"02-WashingDishes",,"2025-12-12","22:48:20","22:57:19","00:08:59","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-14","22:33:25","23:00:00","00:26:35","-05:00","false","false"
"03-Clean up",,"2025-12-15","22:20:15","22:49:59","00:29:44","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-15","22:50:01","23:59:59","01:09:58","-05:00","false","false"
"04-Workout ",,"2025-12-16","11:30:50","13:43:14","02:12:24","-05:00","false",
"02-Kitchen ","Meal prep","2025-12-16","20:18:42","21:14:33","00:55:51","-05:00","false","false"
"02-Kitchen ",,"2025-12-18","11:21:38","11:54:04","00:32:26","-05:00","false",
"02-Kitchen ",,"2025-12-18","21:06:48","21:35:37","00:28:49","-05:00","false",
"02-coffee",,"2025-12-18","21:35:43","21:50:20","00:14:37","-05:00","false",
"02-coffee",,"2025-12-18","21:54:30","21:54:31","00:00:01","-05:00","false",
"02-WashingDishes",,"2025-12-18","21:54:35","22:10:04","00:15:29","-05:00","false",
"03-Clean up",,"2025-12-18","22:47:11","23:24:50","00:37:39","-05:00","false",
