Project name,Task name,Date,Start time,End time,Duration,Time zone,Project archived,Task completed
01-02-el,,2026-03-03,09:00:00,11:00:00,2:00:00,-5:00:00,FALSE,
01-02-el,,2026-03-03,11:15:00,12:30:00,1:15:00,-5:00:00,FALSE,
04-workout,,2026-03-03,06:00:00,07:48:00,1:48:00,-5:00:00,FALSE,
02-Kitchen ,Meal prep,2026-03-03,12:45:00,13:15:00,0:30:00,-5:00:00,FALSE,FALSE
02-Kitchen ,,2026-03-03,13:15:00,13:45:00,0:30:00,-5:00:00,FALSE,
01-03-RshWrk,,2026-03-03,14:00:00,16:00:00,2:00:00,-5:00:00,FALSE,
01-00-Personal work,,2026-03-03,16:15:00,17:00:00,0:45:00,-5:00:00,FALSE,
00-Divine,,2026-03-03,21:00:00,22:12:00,1:12:00,-5:00:00,FALSE,
01-02-el,,2026-03-04,09:00:00,09:45:00,0:45:00,-5:00:00,FALSE,
01-02-el,,2026-03-04,10:00:00,12:00:00,2:00:00,-5:00:00,FALSE,
04-workout,,2026-03-04,06:00:00,07:48:00,1:48:00,-5:00:00,FALSE,
02-Kitchen ,,2026-03-04,12:30:00,13:30:00,1:00:00,-5:00:00,FALSE,
01-02-el,,2026-03-04,14:00:00,16:00:00,2:00:00,-5:00:00,FALSE,
01-03-RshWrk,,2026-03-05,09:00:00,11:00:00,2:00:00,-5:00:00,FALSE,
01-03-RshWrk,,2026-03-05,11:30:00,12:30:00,1:00:00,-5:00:00,FALSE,
03-Cleaning ,,2026-03-05,08:57:29,09:45:25,0:47:56,-5:00:00,FALSE,
01-02-el,,2026-03-05,14:00:00,17:00:00,3:00:00,-5:00:00,FALSE,
04-workout,,2026-03-05,06:00:00,08:12:00,2:12:00,-5:00:00,FALSE,
02-Kitchen ,,2026-03-05,12:30:00,13:30:00,1:00:00,-5:00:00,FALSE,
01-02 CIS731,,2026-03-06,09:00:00,11:00:00,2:00:00,-5:00:00,FALSE,
01-02 CIS731,,2026-03-06,11:15:00,12:00:00,0:45:00,-5:00:00,FALSE,
04-workout,,2026-03-06,06:00:00,07:48:00,1:48:00,-5:00:00,FALSE,
01-03-RshWrk,,2026-03-06,14:00:00,16:48:00,2:48:00,-5:00:00,FALSE,
02-Kitchen ,,2026-03-06,12:30:00,13:30:00,1:00:00,-5:00:00,FALSE,
